,Comment
0,선수들 심정이 이해가 간다 내가 1인분만하면 못이긴다는 생각이 들때 마음이 급해질수밖에 없음 팀에 구멍이 있으면 안됨 롤해본사람들은 알거임
1,5세트까지 볼 수 있었다는거에 감사해
2,솔직히 역대 저점 페이커이긴 했다.. 올해가 마지막 선수 생활일 거 같은 느낌까지 받음;;
3,티원 정말 고생했어요
4,수고많았습니다 T1!!
5,진짜 롤은 상대적인거구나 blg 개잘해보이네
6,어떻게 매번잘하냐 ㅎㅎ 선수들 너무 실망말구 몸과 마음 잘 추스렸으면 좋겠다 msi 기간동안 고생많았어 재밌는경기 보여줘서 고맙다 항상 응원한다 T1!!
7,고생했다 티원!! 항상 응원한다
8,젠지 덕에 lck 시드 4장은 챙겼네
9,오늘 LCK 우승을 확정지을수 있었는데 5꽉까지 가서 더 아쉬운 경기.. 그래도 내일 젠지가 복수해줄거라 믿는다
10,1경기 트타는 진짜 충격이다. 협곡에 있는 10명중 한명만 너무 못하더라 진짜 무슨 챌린져 경기에 낀 다이아를 보는거 같았음
11,5꽉 다들 고생했고 재밌었습니다~
12,경기는 정말 재밋었는데 져서 아쉽긴하더라. 그래도 선수들 정말 고생했고 내일 젠지 제발 해줘
13,그래도 고생했어요 T1!!!!
14,페이커) 뜌땨땨...뜌땨뜌땨 뜌따아
15,게임이 어떻게.. 5경기를 다 위에진영이 지나요...?
16,순수미드차이 하나로 안락사 시킨 경기
17,젠지 3대0으로 이겨주세요 쵸비의 첫 MSI 트로피도 응원합니다
18,제우스야 고생이 많다 ㅎㅎ
19,이완드래곤X 준우승 ㅋㅋ 헤엄쳐서와라   (지들은 결승도 못가고 lpl한테 msi 1승 7패하며)
20,3경기 미드 자크 처음 본다 ㅋㅋㅋㅋㅋ
21,수고했다. 서머 준비 잘하자
22,아오 상혁이형!
23,너무 고생 많았습니다
24,빈 너무잘하네ㅋㅋ
25,누가 진짜 T1 주인님인지 다시 서열정리 해줘야겠네 BLG 주인 허락없이 감히 남의 애를 패??
26,후우 내가 진짜 빠커 좋아하지만 오늘 빠커는 진짜......
27,호러쇼 goat 그미드
28,페이커 선수 꿈 깨시길 바랍니다.
29,아쉽지만 고생 많았습니다. 서머도 화이팅! 결승전 젠지도 화이팅!
30,올해는 하이퍼 스피릿 에볼루션 젠지야 ? LCK의 주인님 대황젠지 해주세요 끼잉낑..
31,부품들이 고장났네; 슬슬 갈아볼까?
32,젠지는 도란 안버렸으면 빈이 학살했겠네..
33,Blg 너네가 우리 빵셔틀 팼냐? 복수해줄게
34,내가 여태까지 봤던 국제전 통틀어 LPL LCK한정 이번 msi 그미드가 역대 최악의 미드였던것 같다 정말 경악할 수준의 퍼포먼스였다....
35,티원 고생했다 아쉽지만 이번 msi는 여기까지네 곧 나올 월즈스킨+명예의 전당 아리 스킨 총 6종이나 보면서 또 버텨야지... 써머도 화이팅해서 달려보자
36,3세트가 너무 허무하게 져서 아쉽네요...
37,정말 고생 많았고 희노애락 다 준 msi 였어. 컨디션 관리도 티어 정리까지 다사다난했는데 그래도 저력 하나로 여기까지 온거 진짜 보여준거야! 힘내자. 어깨 쳐지지 말고
38,고생많았다 티원!
39,슬퍼할 겨를도 없이 전장에 투입된 건 LCK 1시드 젠지..
40,티원 수고했고 서머 준비잘해서 경기력 올려보자... 그리고 젠지 믿는다 이겨줘라 제발 해줘! ㅠㅠ
41,빈이 진짜 무서운 선수다.
42,아쉬웠지만 잘했다 티원!! 왈가왈부 하는 사람들말소리 신경쓰지말고 휴식기간 갖고 써머때 좋은 모습으로 보자 아프지말고 항상 건강해야해
