Comment,Target
이건 문재인이 잘했네,0
Dna 마크 강제 웃참챌린지 하게 해주네..,0
와..밥먹으면서 너덜트네 하고 켰다가 체했음;;;,0
스팀으로 사출기 만들면 꽤 많은 공간을 차치하고 그공간만큼 더 적재 공간을 늘려야 함,0
버닝썬이 중국자본 통로였다고 하더만,0
민주당 배재정35.87% 무소속 장재원 37.52%,0
와 개새 훌륭한 단편영화같아요!!!! 역시 엘리트,0
솔솔┓랭랭 오늘 날도좋고 그러는데 한번 달려보자꾸나,0
훼손될 명예가 있어야 명예훼손이 성립되지 않는가요?,0
ㅇㅇ 나도 스팀가드 모바일로오게함 이메일 허벌이라 ㅋㅋㅋ,0
애기 보호하는 고양이 영상 봤다,0
" 입안으로 절개해서 기구넣어서 광대뼈 깎는거",0
ㅋㅋㅋㅋ 눈에는 눈 이에는 이 캬~ 마지막 인스타까지 완벽!,0
" 요즘은 남자도 겉눈썹 정리한다고 하던데",0
"여기서 중,고교 동문 만나네 ^^;",0
햄버거 많이 먹으면 종기남,0
템 지급받은 뒤에 본인 스펙하고 안맞으면 교환이벤트도 다시 함 ㄱㅆㅅㅌㅊ,0
포이즌 솔찍히 잘어울린다,0
김무성 옥새 파동 모르노?,0
이만희총회장님께서 신천지구원으로 전세계에서 몰려 온다 하셨습니다.,0
근데 대체 모르는걸 알려고 하지 않는게 왜 죄지? 자기가 생각했을때 인생에 굳이 필요없을거같으면 상관 없는거 아닌가? 그냥 내가보기에 저런 말이 남들 까는데 명분삼아 만든거같음 그냥 너무 혐오가 많아 세상에,0
페이커 데뷔시즌팬으로서 5판을 햇는데 미드캐리가 한번도 나온적 없다는거에 이미 결승갈 자격도 없엇고 운좋게 갓어도 우승못함,0
맨스티어만 기다렸으면 개추,0
얘네 지들이 하고 지들이 머쓱해 하고 웃참하는게 개웃기네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
티원 고생했다 아쉽지만 이번 msi는 여기까지네 곧 나올 월즈스킨+명예의 전당 아리 스킨 총 6종이나 보면서 또 버텨야지... 써머도 화이팅해서 달려보자,0
변희재 김세의 강용석은 서울대출신 엘리트 애국보수들임,0
도망쳐!!,0
부전교회 고등부에 있을때정용식목사가 사랑의 반대말은 무관심이라고 했다.예수님이 원수를 사랑하라고 하니까 학교다닐때 날 괴롭혔던 애들을 좋아할려고 애썼다.,0
" 중고신입인 경우 34~35살까지도 봤다.",0
일본 항공사는 스시 나옴 .,0
버건디색 티셔츠 입은 사람 속이 다 후련하네ㅋㅋㅋ,0
스포츠응용산업학과 가주세요,0
역시 갓스파,0
No one can stop me from praising ningning’s vocal in super nova,0
일부로 알면서 뛰어내린거,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
"저거 남자쪽에서도 저렇게 적게 받는건, 매달 나가는 돈 아니까 저렇게 적게 받는 경우가 많음.내 생각에 결혼하기전에 5000만원 정도는 비상금으로 가지고 있어야 함.그리고 결혼하고 생활비 다주더라도 가지고 있떤 5000만원 주식이든 펀드든 뭐든 넣어 불리면서 자산을 만들수 있어야 어디가도 기가 안죽음",0
쿠마몬 파생 하위호환,0
이준기 외모 서양가면 무시받는 얼굴이냐?,0
이시간까지 어쩌고저쩌고 하시면 얼마버는지 말씀드리고 택시 잔돈안받고 걍 내림,0
나오시는 분들이 이번에 뽑힌분들이신가요?? 이걸 또 이렇게 푸시네..,0
귀여워,0
상폐 ㅁㅈㅎ,0
우리 애기들 너무 예뻐.. 혜인이 몸 빨리 낫자 너무 보고싶다 우리 애기.. 너희를 응원하는 사람은 많느니까 기 죽지말고 킵고잉 해,0
리뷰관리  꼼꼼하게하는곳도 있더라,0
츄님이 다했네요!,0
All of them are shining so bright,0
용기낸 모습 너무 잘 봤습니다 어떤 결과가 나오던 항상 응원하겠습니다,0
그럼 모두가 공평하게 평등하게 치료받아야합니꽈? 허허허,0
글삭하지마라 스크랩했다,0
" 너가 연락안하면 연락오는사람 없지 ㅋㅋㅋㅋㅋ",0
캬 속시원하다 ㅋㅋㅋㅋㅋ 너덜트식으로 잘 표현했네 ㅋㅋㅋ 아니 근데 저 글삭튀 개열받네 ㅋㅋㅋ,0
레전드다 오늘영상 한 영상에 몇명이 긁힌거지 ㅋㅋㅋㅋㅋㅋ,0
위험성을 따진다면...,0
아 씨~ 또 속았네 ㅋㅋ,0
너무 뻔뻔해서 얼탱이가 없다..ㅋㅋㅋㅋㅋㅋㅋㅋ,0
아니 하...진짜 sm 그자체라서 눈물이난다.......너무 좋다...... 비트랑 백사운드 깔리는거 진짜 그시절 감성 지렸고  걍 sm is my life임......이지리스닝 시대에 내 가슴을 뛰게하는 유일한 곳 스엠....,0
돌아가십쇼 형님...,0
"도쿄 올림픽때만 응윈 깔짝하겠지  ㅠㅠ 복싱에 대한 국민인식이 ",0
뒷내용 때문에 앞에 본거 다 까먹음,0
네이버 자율주행 기술이 얼마 만큼 인지 궁금하네요. 저정도는 하겠죠?,0
과학,0
이번 곡 닝닝 목소리가 진짜 잘어울린다,0
ㅈㅈㅂ,0
여자분 컨셉못지키고 현웃터지는거 개웃기네 ㅋㅋㅋ,0
젠지는 아쉽겠네...  T1 올라가면 꽁승이었는데 ㅠㅠ,0
창서비 여리여리했었는데 이제 단단해져서 변요한님 닮은 꼴로 점점 배우상으로 변해간다,0
아아…,0
ㅇ,0
2번째 보는데도 아직도 속이 꽉 막힌것처럼 답답 ㅜㅜ,0
택시 이미지가 진짜 엄청나다 이기야..,0
걍 뮤직뱅크 엠씨 츄랑 마크로 바꿔라,0
하긴 카페 첨부파일도 다 검열하던데 ㅋㅋ,0
하지말고,0
하 이창섭 전과자 평생가자 오늘두 예자앞사,0
애초에 인문계 고등학교에서 수능 7등급 나오지도 않지,0
아는 누나 부산대컴공인데 일본에서 스카웃받았다더라,0
아직 멀었습니다~,0
교회놈인감??/,0
16년 1월임용이면 20년 2월 자동진급이고 그동안 승진은 못햇나보네,0
와아아아 DNA 꼭 탈덕할게요!!!!!!! ><,0
외제차 탄 애들이라 생각이다른 바퀴임,0
평생ㅈㄴ 공공재로 남아줬으면 했는데 저 유전자가 여기서 끊긴다고 생각하니까 너무 통탄스러움,0
미안한데 국공립 4년제 나왔고 필드나와보니 졸업장 별루 필요없더라.,0
착하다 착해일베의 빛이다ㅇㅂ,0
갤럭시못따라가네,0
참고로 서울산다 = 전라도,0
어떤 동물이랑 했노,0
안써봐서 모름 ㅁㅈㅎ,0
직캠 하루만에 200믄 찍는 거 진쯔 대박,0
시체를 야산에 유기하려고 끌고 올라갔다가,0
구속 사유가 안된다고 생각은 안하냐??,0
가능,0
포이즌 폼 미쳤다 ㅋㅋㅋ,0
ev 비슷한데 앞뒤 모습은 즁국이 짱이네,0
대충 갑을관계라는 뜻 같은데?,0
결과적으로 N명과 같은건데 자주 쓰이지 않을뿐 쓰입니다... 이상하다 왜 저래 놨지?싶을땐 일단 검색을 해보고 모를땐 솔직하고 정중하게 물어봅시다,0
아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 말도 안되게 웃기네,0
" 살아남음,나도 복지정책에 반대하지는 않음",0
"편하게 말하는거지 저렇게 존칭 쓰는게 안 이상하냐?  ",0
전 이렇게 다양하게 여러봉 사시는분 뵈면..,0
두루킹 뭐? 잘못이냐고? 잘못이지 ㅋ 어쩌라고,0
큰 의료비 나갈때가 좀 있나?,0
여! 호! 와~~~는 언제 나오나요??,0
가끔씩보면 이건 아닌데라고함,0
"갠적으로 저선수들 다좋지만  스도겐키, 야마모토 키드 노리후미 얘네가제일 좋았음",0
와ㅜ닝닝 개이쁘다,0
어디서 근무 하는데?,0
왼쪽은 할아버지 아님?,0
와....진짜 멋있다...나는 쫌 위축됐을줄 알았는데...자기 방식으로 들이받아버리네ㅎㅎ,0
중대 수학과면 자대 중에서도 ㄹㅇ 하위권 아님?아마 저 사람도 수능땐 수리가 1등급 못받았거나 다른 과목 낮아서점수 맞춰서 간거 아닐까?근데 뭐 따지고보면 중요한 건 가르치는 기술이 좋으면 되는거니까 노의미,0
"원래 이상했는데  니가 눈을 감았겠지    요새는 무슨 ",0
중고차딜러는 왜 끼냐?,0
이미 눈빛이 만취했네...,0
" 조만간 민주당 정당가입도하고",0
걍 집에서 먹지 돈아깝다 왜저런걸 사먹노,0
aespa queens forever,0
응.,0
니 믿음이 옳은게 맞다그리고 애초에 저 교리자체가 구원파의 구원교리임,0
사실 별거 없지 잘은 해 밥벌이,0
용팔이,0
