Comment,Target
측면 추돌시 전복되기 쉬운차는 맞는것 같지만... 일상 주행시에 코너 돌때 전복될 일은 없겠네요.,0
지옥참밀도,0
진짜 꿀 가득 차있는거 맛있어 보인다...,0
와 수준진짜 높아졌네...차 디자인도 좋고,0
응 안사,0
불가,0
평상시엔 꿀벌이 시야에 보이기만해도 기겁하면서 도망다니던 사람인데 이 채널은 왜이렇게 중독성이 있는질 모르겠어요ㅋㅋ 알고리즘에 뜬 이 영상을 시작으로 다른 영상들도 벌써 몇 개 찾아봤네요ㅋㅋ 보고있으면 뭔가 마음이 편안해지면서 나른나른~.~,0
다마스는 진짜 관짝이네…,0
세월호 단식투쟁할때 앞장서 폭식투쟁 진두지휘한 의협 회장 말하시는건가?,0
핸드폰을 저렴하게 쓰는 법은 보급형 핸드폰을 싼요금제로 쓰는 것 밖에는 없습니다. 프리미엄폰을 저렴하게 쓰고 싶다면 보조금 최고일 때를 기다렸다가 사는 방법밖에는 없구요. 보급형폰이 아무리 최신이라해도 출시 2년정도 된 프리미엄폰이 성능이 훨씬 뛰어나죠. 할부원금 개념만 제대로 파악하고 있으면 딱히 눈탱이 맞을 일 없고 대리점 말고 그냥 통신사 자체 온라인몰에서 사면 지원금 직접 비교해가며 살 수 있습니다. 추가지원금까지 해서 92만원 정도가 공시지원금 맥스라고 보시면 대충 맞구요. 저가 요금제 쓰면 지원금 많이 받기는 힘드니 그냥 중고폰이나 보급형 모델 쓰지 않는 한 싸게 사기는 힘들죠. 결론은 좋은폰을 싸게 살 방법 같은 건 없다. 각자의 선택에 맞게 사면서 그와중에 좀 더 저렴하게 사거나 눈탱이 안맞는 정도인 거죠.  개인적으로 8.5만원짜리 요금제 쓰는데 약정할인 25% 받으면 2년에 51만원 정도 할인 받음. 공시지원금 선택시 2년 묶이는 거니 92만원을 지원 받으면 결국 45% 할인 받는 셈인 건데 통신사는 45% 할인해줘도 남는 장사기 때문에 공시지원금을 그렇게까지 주는 것임. 개인적으론 무제한 아니면 싫어서 비교적 비싼 요금제를 쓰는지라 공시지원금 최대 지원되는 구형 프리미엄폰 사는게 가장 효율적임. 중고폰도 써보고 보급형도 써보고 했는데 솔직히  중고는 폰 금방 맛탱이가고 보급형은 진짜 말그대로 보급형.. 직전에는 최신폰 200 가까이 주고 샀는데 이번에는 구형 프리미엄폰 공시지원금 최대로 뜨는거 기다리고 있는 중임.,0
지금 쓰는 요금제에서 기기만 바꾸고 싶다면 자급제 기기 하나 사서 유십침만 바꿔 사용하면 아무런 문제가 없다는거죠?,0
쿵까닥 쿵까닥 쿵까닥,0
시원한데 나였으면저거 싹쓸어버릴듯,0
미국사는 비버가 커버한 노래듣다가 너무 별로여서 원곡들으러 왔습니다. 역시 원곡이 더 좋네요.,0
알뜰폰은 공용와이파이공유기가 따로 설치되어 있어야 하는거죠? Skt.kt.lg공유기전파를 잡아쓸수없죠?,0
NING NING?!,0
ㅇㅇ 절대 할게못됨 하고나서 허공에 잔상보임,0
중고 자급제폰+알뜰폰이 최고임. 4g기준 요금제가격이 50~60% 저렴합니다. 쓴지 4년째인데 기변할때도 너무 편합니다. 실보다 득이 더많음. 근데 주변지인들은 나이가있어서 아무리 말해줘도 안바꿈 ㅠㅠ,0
고속에서 코너돌 땐 넘어질 수 있겠네,0
전화는 누가 받아?,0
팩트는 다마스는 단종차고 레이는 판매중 판매중인차 자빠트리는 영상올리면 제조사가 열받겠쥬?,0
ㅅ.ㅅ..사...삼성 ㅎㄷㄷㄷ,0
오랜만에 또 왔다  아이스티 마렵다,0
상상만 하던걸 진짜 하시는분이 있네,0
2025년에도 듣는사람!,0
 중대 입결표 뒤져봐~ 이러고,0
그냥 대응 자체를 하면 안됨 걍 사회에 필요가 없는 사람들이라,0
저 근데 예전에 길가다가 스파크가 누워있는거 봤거든요? 이건 어떻게 해야 가능한걸까요?...ㅋㅋㅋㅋㅋㅋㅋ 누워서 천장이 아스팔트랑 부비부비하고 있었습니다.. 위치상으로 과속으로 좌회전한거 같아 보이긴 했고요...,0
신용등급확인좀 보자고,0
아 진짜 이번 영상 박박 웃기네 ㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㅋ 새벽에 룸메 몰래 웃으면서 보느라 눈물 나옴,0
'우리 나라',0
아직도 방독면 앉아쏴에서 내가 옆사로 후임의 표적을 맞춰 넘겼을때 좋아하던 우리중대 간부님을 잊지못하고 그 짜릿함을 잊을수 없다 . ,0
포이즌 억텐ㄷㄷ,0
다니랑 하니 한국어 생각 안 날 때마다 민지 쳐다보는거 너무 귀엽고 흐뭇함... 사랑한다 애기들아,0
와 아저씨 두분과 배경으로 복숭아라…. 생각지도 못한 조합,0
남의 집 터는 영상을 3번이나 봐버렸네,0
최근에 올블랙 레이를 보다가 뿅반함 그간 국산차 수입차 오픈카 닥치는데로 기회되면 다 몰아보고 타본 나인데 어느순간 레이가 너무 간지나게 이뻐보이더라구요 원래 샤프한 디자인 좋아했었는데 레이~ 넙대대 통통한게 너무 귀엽고 아기자기 했음 휠도 너무 이쁘고 귀여웠어요 ㅎㅎ  요즘 차들 너무 크고 보는 사람도 부담스럽고 무섭기까지 한데  레이는 사이즈도 적당해서 보는 사람도 타는 사람도 운전자도 부담없고 짐도 많이 실어질거 같고 시야도 좋고  썬루프든 뭐든 창문  답답하지 않게 창문 넓은게 좋은듯  올블랙 진짜 이쁘던데 차들보면 다 흔한 디자인인데  레이는 첨부터 지금도 독보적이라 더 매력적인듯  레이가 약간 미니쿠퍼 같기도 미니쿠퍼가 코너링 진짜 굿이던데 안정감 대박 이었었던 초보한테 최고였었던 넙대대한게 안정적~!,0
실험 오류.,0
닝닝 왜케이뻐짐????,0
간조님이랑 만조님 아니세여?!,0
60km로는 어림도없구요 80km이상에서 램프구간 돌아야함,0
남편분은 빨리 뵙는거 원치 않으실겁니다. 아드님과 더 행복하게 사세요~,0
네 다음 사람 죽이는 동물 BEST 4 나오세요~,0
제발 대한민국 식민지 삼아주세요 ㅠㅠㅠㅠ,0
버즈 끼고 보다가 소름돋아서 블루투스 꺼버림,0
은밀한 유료결재뭔데ㅋㅋㅋㅋㅋ,0
아무리 바짝 땡긴다해도 허리인데...,0
수리능력은 생각보다 많은 전 영역에서 쓰이지,0
소송,0
국내통신 3사노조및 요금횡포 통신방해 극심하다 ㅡ통신3사       주식 불매 운동합시다,0
GTA스토리 같넼ㅋㅋㅋㅋㅋㅋ,0
어데로 가십니까,0
경차라고 다 운전 미숙은 아니지만 경차가 싸기 때문에 사회 초년생이나 여자들이 많이 탐..,0
통신사에서 5G휴대폰을 새로 개통해도 계속 원래쓰던 LTE요금제를 그대로 쓸수 있나요? 통신사에선 6개월동안(?)은 무조건 5G요금제를 쓰고 나서 넘어가야 된다고 하던데 뭐가 맞는 건가요?,0
I love the camera that zoomed out to show the choreography when Karina's part body bang comes up. So good!,0
꿀벌은 참 지구상에 없어서는 안될 소중한 존재다 ㅎㅎㅎ 맛나는 꿀도주지 또 식물들이 퍼져나갈수있는 역할도하지 종종 이런 영상보면 마음이 편안해져서 좋다 ㅋ,0
홍지승씨 아니시죠..?,0
레이 자체의 문제보다 코너링 할때 도로의 기울기가 문젠듯,0
이런 실혐해주는데가 또 어딨을까 오늘도 잘 보고 갑니다. 그리고 스피더님 고생 많이 하셨네요 ㅋㅋㅋ 근데 왜 나는 재밌지..,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
