Comment,Target
저희 할아버지도 양봉하셨는데 왠만한거에는 다 너그러우셨던 할아버지가 대노하시면서 파리채로 말벌을 잡으시던 그 기억은 아직도 생생합니다..,0
말벌이 사람쏘고 꿀벌 다잡아먹는게 자연의 섭리면 양봉업자가 말벌 조지는것도 자연의 섭리아니겠냐ㅋㅋㅋㅋㅋ,0
어떻게 그렇게 무자비하게 생명을 죽일 수가 있습니까 정말로 존경합니다.,0
잔인하다하실 분도 계시겠지만 양봉농가 입장에서는 저놈들이 내 자식 죽이는 놈들이라 저래도 속이 안 풀리실 겁니다.,0
잔인하다고 생각하시는 분이 있으실텐데.. 예전에 제가 직접 본경험으로... 말벌이 일벌의 두세배크기가 됩니다. 요 말벌 두마리가 벌통 입구에서 있다가 일벌이 꼬물꼬물 나오면 딱 잡아서 일벌의 머리를 말벌이 입으로 댕강 짤라버립니다. 일벌은 말벌을 공격할수있는 방법이 아무것도 없습니다.  얼마나 잔인한지... 그리고 양봉하시는 분들은 일벌을 자식처럼 관리합니다. 겨울에는 추울까봐 이불도 덮어주고.. 밥도주고.. 물도 주고.. 아침에 벌통 문도 열어주고... 아무저항도 못하고 대가리가 짤라나가는 모습보면... 이렇게 하는건 양호한것이고.. 그리고 말벌은 사람을 사망에 이르게 합니다.  수고하셨습니다.,0
말벌을 태워서 토종벌의 영혼을 위로해주신분께 박수를 보냅니다,0
어떻게 이 말벌들을 크록스+반쯤 벗겨진 매드클라운+구수한 사투리로 다 말살시키시는지…존경합니다정말.. 많이죽여주십쇼,0
말벌  천적 1위가  화난  양봉집  사장이라는데  이거  보니까  왜  그런지  알겠네요  ㅋㅋ,0
어릴적 아버지가 양봉하셔서 말벌 한마리가 오면 꿀통을 다 헤집고 꿀벌 수백마리를 물어 죽입니다. 그래서 저는 어릴적 파리채를 들고 꿀통 옆에 있다가 말벌이 오면 파리채로 기절시키고 밟아서 한마리씩 죽였죠. 수백마리 죽였네요.,0
속이 시원하다. 꿀벌을 위해서 계속 고생해주세요,0
언젠가 인터넷 짤중에서 말벌의 가장 강력한 적은 빡친 양봉장 사장님이라고 본게 기억나네요 ㅋㅋㅋㅋ,0
